batch,pair,condition,panel,metric,correct,n,percent,qualified
memory,2,always_projection,train_probe,lookup,256,256,100.0,
memory,2,always_projection,train_probe,lookup_majority,95,256,37.109375,
memory,2,always_projection,train_probe,parity,256,256,100.0,
memory,2,always_projection,train_probe,parity_majority,133,256,51.953125,
memory,2,always_projection,train_probe,sum3,256,256,100.0,
memory,2,always_projection,train_probe,sum3_majority,89,256,34.765625,
memory,2,always_projection,length-2,all,118,256,46.09375,
memory,2,always_projection,length-2,lookup,118,256,46.09375,
memory,2,always_projection,length-2,lookup_majority,256,256,100.0,
memory,2,always_projection,length-4,all,202,256,78.90625,
memory,2,always_projection,length-4,lookup,202,256,78.90625,
memory,2,always_projection,length-4,lookup_majority,126,256,49.21875,
memory,2,always_projection,length-8,all,186,256,72.65625,
memory,2,always_projection,length-8,lookup,186,256,72.65625,
memory,2,always_projection,length-8,lookup_majority,98,256,38.28125,
memory,2,always_projection,length-12,all,184,256,71.875,
memory,2,always_projection,length-12,lookup,184,256,71.875,
memory,2,always_projection,length-12,lookup_majority,96,256,37.5,
memory,2,neither,validation,all,755,768,98.30729166666667,False
memory,2,neither,validation,lookup,244,256,95.3125,
memory,2,neither,validation,lookup_majority,93,256,36.328125,
memory,2,neither,validation,parity,256,256,100.0,
memory,2,neither,validation,parity_majority,131,256,51.171875,
memory,2,neither,validation,sum3,255,256,99.609375,
memory,2,neither,validation,sum3_majority,90,256,35.15625,
memory,2,neither,train_probe,all,768,768,100.0,True
memory,2,neither,train_probe,lookup,256,256,100.0,
memory,2,neither,train_probe,lookup_majority,95,256,37.109375,
memory,2,neither,train_probe,parity,256,256,100.0,
memory,2,neither,train_probe,parity_majority,133,256,51.953125,
memory,2,neither,train_probe,sum3,256,256,100.0,
memory,2,neither,train_probe,sum3_majority,89,256,34.765625,
memory,2,neither,length-2,all,256,256,100.0,
memory,2,neither,length-2,lookup,256,256,100.0,
memory,2,neither,length-2,lookup_majority,256,256,100.0,
memory,2,neither,length-4,all,256,256,100.0,
memory,2,neither,length-4,lookup,256,256,100.0,
memory,2,neither,length-4,lookup_majority,126,256,49.21875,
memory,2,neither,length-8,all,251,256,98.046875,
memory,2,neither,length-8,lookup,251,256,98.046875,
memory,2,neither,length-8,lookup_majority,98,256,38.28125,
memory,2,neither,length-12,all,242,256,94.53125,
memory,2,neither,length-12,lookup,242,256,94.53125,
memory,2,neither,length-12,lookup_majority,96,256,37.5,
memory,3,hidden_only,validation,all,692,768,90.10416666666667,False
memory,3,hidden_only,validation,lookup,181,256,70.703125,
memory,3,hidden_only,validation,lookup_majority,93,256,36.328125,
memory,3,hidden_only,validation,parity,256,256,100.0,
memory,3,hidden_only,validation,parity_majority,131,256,51.171875,
memory,3,hidden_only,validation,sum3,255,256,99.609375,
memory,3,hidden_only,validation,sum3_majority,90,256,35.15625,
memory,3,hidden_only,train_probe,all,768,768,100.0,True
memory,3,hidden_only,train_probe,lookup,256,256,100.0,
memory,3,hidden_only,train_probe,lookup_majority,88,256,34.375,
memory,3,hidden_only,train_probe,parity,256,256,100.0,
memory,3,hidden_only,train_probe,parity_majority,132,256,51.5625,
memory,3,hidden_only,train_probe,sum3,256,256,100.0,
memory,3,hidden_only,train_probe,sum3_majority,95,256,37.109375,
memory,3,hidden_only,length-2,all,256,256,100.0,
memory,3,hidden_only,length-2,lookup,256,256,100.0,
memory,3,hidden_only,length-2,lookup_majority,256,256,100.0,
memory,3,hidden_only,length-4,all,206,256,80.46875,
memory,3,hidden_only,length-4,lookup,206,256,80.46875,
memory,3,hidden_only,length-4,lookup_majority,126,256,49.21875,
memory,3,hidden_only,length-8,all,182,256,71.09375,
memory,3,hidden_only,length-8,lookup,182,256,71.09375,
memory,3,hidden_only,length-8,lookup_majority,98,256,38.28125,
memory,3,hidden_only,length-12,all,179,256,69.921875,
memory,3,hidden_only,length-12,lookup,179,256,69.921875,
memory,3,hidden_only,length-12,lookup_majority,96,256,37.5,
memory,3,lookup_projection,validation,all,676,768,88.02083333333333,False
memory,3,lookup_projection,validation,lookup,166,256,64.84375,
memory,3,lookup_projection,validation,lookup_majority,93,256,36.328125,
memory,3,lookup_projection,validation,parity,256,256,100.0,
memory,3,lookup_projection,validation,parity_majority,131,256,51.171875,
memory,3,lookup_projection,validation,sum3,254,256,99.21875,
memory,3,lookup_projection,validation,sum3_majority,90,256,35.15625,
memory,3,lookup_projection,train_probe,all,768,768,100.0,True
memory,3,lookup_projection,train_probe,lookup,256,256,100.0,
memory,3,lookup_projection,train_probe,lookup_majority,88,256,34.375,
memory,3,lookup_projection,train_probe,parity,256,256,100.0,
memory,3,lookup_projection,train_probe,parity_majority,132,256,51.5625,
memory,3,lookup_projection,train_probe,sum3,256,256,100.0,
memory,3,lookup_projection,train_probe,sum3_majority,95,256,37.109375,
memory,3,lookup_projection,length-2,all,256,256,100.0,
memory,3,lookup_projection,length-2,lookup,256,256,100.0,
memory,3,lookup_projection,length-2,lookup_majority,256,256,100.0,
memory,3,lookup_projection,length-4,all,216,256,84.375,
memory,3,lookup_projection,length-4,lookup,216,256,84.375,
memory,3,lookup_projection,length-4,lookup_majority,126,256,49.21875,
memory,3,lookup_projection,length-8,all,181,256,70.703125,
memory,3,lookup_projection,length-8,lookup,181,256,70.703125,
memory,3,lookup_projection,length-8,lookup_majority,98,256,38.28125,
memory,3,lookup_projection,length-12,all,170,256,66.40625,
memory,3,lookup_projection,length-12,lookup,170,256,66.40625,
memory,3,lookup_projection,length-12,lookup_majority,96,256,37.5,
memory,3,always_projection,validation,all,516,768,67.1875,False
memory,3,always_projection,validation,lookup,173,256,67.578125,
memory,3,always_projection,validation,lookup_majority,93,256,36.328125,
memory,3,always_projection,validation,parity,256,256,100.0,
memory,3,always_projection,validation,parity_majority,131,256,51.171875,
memory,3,always_projection,validation,sum3,87,256,33.984375,
memory,3,always_projection,validation,sum3_majority,90,256,35.15625,
memory,3,always_projection,train_probe,all,761,768,99.08854166666667,True
memory,3,always_projection,train_probe,lookup,256,256,100.0,
memory,3,always_projection,train_probe,lookup_majority,88,256,34.375,
memory,3,always_projection,train_probe,parity,256,256,100.0,
memory,3,always_projection,train_probe,parity_majority,132,256,51.5625,
memory,3,always_projection,train_probe,sum3,249,256,97.265625,
memory,3,always_projection,train_probe,sum3_majority,95,256,37.109375,
memory,3,always_projection,length-2,all,256,256,100.0,
memory,3,always_projection,length-2,lookup,256,256,100.0,
memory,3,always_projection,length-2,lookup_majority,256,256,100.0,
memory,3,always_projection,length-4,all,218,256,85.15625,
memory,3,always_projection,length-4,lookup,218,256,85.15625,
memory,3,always_projection,length-4,lookup_majority,126,256,49.21875,
memory,3,always_projection,length-8,all,177,256,69.140625,
memory,3,always_projection,length-8,lookup,177,256,69.140625,
memory,3,always_projection,length-8,lookup_majority,98,256,38.28125,
memory,3,always_projection,length-12,all,169,256,66.015625,
memory,3,always_projection,length-12,lookup,169,256,66.015625,
memory,3,always_projection,length-12,lookup_majority,96,256,37.5,
memory,3,neither,validation,all,764,768,99.47916666666667,True
memory,3,neither,validation,lookup,253,256,98.828125,
memory,3,neither,validation,lookup_majority,93,256,36.328125,
memory,3,neither,validation,parity,256,256,100.0,
memory,3,neither,validation,parity_majority,131,256,51.171875,
memory,3,neither,validation,sum3,255,256,99.609375,
memory,3,neither,validation,sum3_majority,90,256,35.15625,
memory,3,neither,train_probe,all,768,768,100.0,True
memory,3,neither,train_probe,lookup,256,256,100.0,
memory,3,neither,train_probe,lookup_majority,88,256,34.375,
memory,3,neither,train_probe,parity,256,256,100.0,
memory,3,neither,train_probe,parity_majority,132,256,51.5625,
memory,3,neither,train_probe,sum3,256,256,100.0,
memory,3,neither,train_probe,sum3_majority,95,256,37.109375,
memory,3,neither,length-2,all,256,256,100.0,
memory,3,neither,length-2,lookup,256,256,100.0,
memory,3,neither,length-2,lookup_majority,256,256,100.0,
memory,3,neither,length-4,all,256,256,100.0,
memory,3,neither,length-4,lookup,256,256,100.0,
memory,3,neither,length-4,lookup_majority,126,256,49.21875,
memory,3,neither,length-8,all,255,256,99.609375,
memory,3,neither,length-8,lookup,255,256,99.609375,
memory,3,neither,length-8,lookup_majority,98,256,38.28125,
memory,3,neither,length-12,all,255,256,99.609375,
memory,3,neither,length-12,lookup,255,256,99.609375,
memory,3,neither,length-12,lookup_majority,96,256,37.5,
